,,mean,mean,std,std
,,acc,loss,acc,loss
sonar,isotonic,0.844135537369,0.611899120868,0.0526575093752,0.537726869266
sonar,sigmoid,0.852370148286,0.372860550558,0.0514170617682,0.0775935370904
spambase,None,0.945730016222,0.202726741349,0.0068576520314,0.0397320197371
spambase,beta,0.945143035377,0.165292242955,0.00686906045587,0.0178334900162
spambase,beta_ab,0.945730016222,0.166365402824,0.0068576520314,0.018015074584
spambase,beta_am,0.945490672839,0.167768371014,0.00704310898926,0.0187184765905
spambase,isotonic,0.944947595638,0.173700107079,0.00668390545656,0.0329485804927
spambase,sigmoid,0.94583883015,0.175202978441,0.00688755032157,0.0176558130708
tic-tac,None,0.868269742018,0.340204352152,0.0263460855341,0.0372527042369
tic-tac,beta,0.867855234246,0.327852812874,0.0241869753613,0.0386081436078
tic-tac,beta_ab,0.868269742018,0.327777632299,0.0263460855341,0.0388040162377
tic-tac,beta_am,0.867322464825,0.33831150675,0.0239587296575,0.0391603314746
tic-tac,isotonic,0.867959963242,0.336211656891,0.0278297514187,0.085391435797
tic-tac,sigmoid,0.867846019383,0.335889529416,0.024801563481,0.038279092347
vehicle,None,0.978612141513,0.0612088276905,0.0117839972574,0.0256806168173
vehicle,beta,0.978373341851,0.063301790324,0.0118856302529,0.0329144608188
vehicle,beta_ab,0.978612141513,0.0632363398992,0.0117839972574,0.0324732292682
vehicle,beta_am,0.978731206005,0.0612337691807,0.0114714697581,0.0304060674681
vehicle,isotonic,0.978378977834,0.108757450248,0.0108084090454,0.10984853793
vehicle,sigmoid,0.978847452209,0.0672771766044,0.0119147607354,0.0293416591409
vowel,None,0.990505050505,0.0358258509851,0.00681732283464,0.0104527942943
vowel,beta,0.990101010101,0.0260181625259,0.00645007117998,0.0162048187896
vowel,beta_ab,0.990505050505,0.0266089115036,0.00681732283464,0.0175849116683
vowel,beta_am,0.990606060606,0.0254418274552,0.00612298687136,0.0155864034824
vowel,isotonic,0.989696969697,0.0255538539113,0.00676519952077,0.0162116759359
vowel,sigmoid,0.990909090909,0.0285523807141,0.0067682767097,0.0195779955641
waveform-5000,None,0.882986127266,0.35540082347,0.0110780360661,0.0941346417791
waveform-5000,beta,0.882045886506,0.29715145151,0.0110214036652,0.0373616662659
waveform-5000,beta_ab,0.882986127266,0.297089765981,0.0110780360661,0.0373178832943
waveform-5000,beta_am,0.882406006866,0.296914040634,0.0110317338192,0.0370510670146
waveform-5000,isotonic,0.881145325625,0.311330963041,0.0108981538539,0.037564571466
waveform-5000,sigmoid,0.882346066726,0.311055531511,0.010698152279,0.0252090042062
wdbc,None,0.975182762601,0.0808571526246,0.0120865677737,0.0423938612225
wdbc,beta,0.974130050019,0.0788560117003,0.0128105408809,0.0358651355257
wdbc,beta_ab,0.975182762601,0.0783118225215,0.0120865677737,0.035527374217
wdbc,beta_am,0.974133128126,0.0809425111135,0.0131794038484,0.0376015747697
wdbc,isotonic,0.975005771451,0.18495266471,0.0137739364385,0.212310460083
wdbc,sigmoid,0.974841092728,0.0872319671834,0.0114300235309,0.037729197117
wpbc,None,0.789056680162,0.531727603107,0.0499982167288,0.144094287473
wpbc,beta,0.786201754386,0.483296244154,0.0426497719551,0.0584154806777
wpbc,beta_ab,0.787518218623,0.490749539632,0.0504602484239,0.0666109390823
wpbc,beta_am,0.783609986505,0.484191279223,0.0401018320731,0.0560089210833
wpbc,isotonic,0.791699055331,0.591574851177,0.0436490961912,0.365873660234
wpbc,sigmoid,0.787714574899,0.483657572745,0.0442923932136,0.0529958080463
yeast,None,0.745938344995,0.501747429331,0.0201493548197,0.028638671338
yeast,beta,0.745663745086,0.497827651639,0.0185029676445,0.021162540752
yeast,beta_ab,0.745938344995,0.498274227741,0.0201493548197,0.0220802145867
yeast,beta_am,0.745935169981,0.49702520661,0.0183177093285,0.0208703293329
yeast,isotonic,0.74493161947,0.540509021318,0.0194532303976,0.0841735216124
yeast,sigmoid,0.74667004922,0.505183077168,0.0196243610673,0.0210905658162
zoo,None,1.0,0.0211836268808,0.0,0.0135534830486
zoo,beta,0.998947368421,0.0053903991215,0.00744322927565,0.0109017385978
zoo,beta_ab,1.0,0.00140524122613,0.0,0.00320297214269
zoo,beta_am,0.997994987469,0.00579383985876,0.00993514996456,0.011730429594
zoo,isotonic,0.998947368421,0.0090676376808,0.00744322927565,0.0119732654552
zoo,sigmoid,1.0,0.00145065980842,0.0,0.00418766548602
